17240;-201;35
17256;-201;35
17265;-201;35
17274;-201;35
17283;-201;35
17291;-201;35
17300;-201;35
17308;-201;36
17317;-201;35
17327;-201;35
17335;-201;36
17343;-201;35
17351;-201;35
17359;-201;35
17368;-202;35
17376;-201;35
17384;-201;36
17393;-201;35
17400;-201;36
17408;-201;35
17416;-201;35
17425;-201;36
17432;-201;36
17440;-201;35
17449;-201;35
17456;-201;35
17465;-201;35
17474;-201;36
17483;-201;36
17491;-201;35
17499;-201;35
17508;-201;35
17517;-201;35
17525;-201;36
17533;-201;36
17541;-201;35
17549;-201;35
17558;-200;36
17565;-201;35
17575;-201;35
17583;-201;36
17591;-201;35
17600;-201;36
17608;-201;36
17616;-201;35
17625;-200;35
17634;-201;36
17642;-201;36
17650;-201;35
17657;-201;35
17665;-201;36
17674;-200;36
17683;-201;35
17692;-201;35
17700;-201;35
17708;-201;35
17717;-201;35
17724;-201;35
17732;-201;35
17740;-201;35
17748;-201;36
17755;-201;35
17764;-201;35
17772;-201;35
17781;-201;35
17790;-201;35
17798;-201;35
17806;-200;35
17815;-201;35
17824;-201;36
17833;-201;35
17842;-201;35
17849;-201;35
17859;-201;35
17868;-201;35
17877;-201;35
17885;-201;34
17893;-201;35
17902;-201;35
17909;-201;35
17918;-201;34
17926;-201;34
17935;-201;34
17942;-201;34
17951;-201;34
17959;-201;34
17968;-201;34
17976;-201;34
17985;-201;34
17994;-201;34
18002;-201;34
18009;-201;34
18017;-201;34
18026;-202;34
18034;-201;34
18046;-201;34
18054;-201;33
18062;-201;33
18074;-201;34
18082;-201;34
18091;-201;34
18100;-201;33
18108;-201;34
18116;-201;34
18125;-201;33
18133;-201;34
18140;-201;33
18148;-201;33
18156;-201;34
18165;-201;33
18173;-201;33
18182;-201;33
18190;-201;34
18198;-201;34
18207;-201;33
18216;-201;33
18225;-201;34
18234;-201;33
18241;-201;33
18250;-201;33
18258;-202;33
18266;-201;33
18278;-201;33
18286;-201;33
18294;-201;32
18302;-201;33
18311;-201;33
18318;-201;33
18326;-201;32
18334;-201;33
18343;-201;32
18351;-201;33
18364;-201;32
18383;-201;33
18399;-201;32
18410;-201;33
18424;-201;33
18437;-201;32
18449;-201;32
18461;-201;31
18472;-201;32
18486;-201;32
18497;-201;32
18508;-201;32
18519;-201;32
18530;-201;31
18542;-201;32
18552;-201;32
